STRING ID - DO NOT EDIT!	ORIGINAL TEXT - DO NOT EDIT!	TRANSLATION - PLEASE WRITE YOUR TRANSLATION HERE USING EXCEL OR LIBREOFFICE
clock_dayno	Day	Giorno
gamestatus_rep	Republia	Republia
gamestatus_demo	Democria	Democria
morningstate_createkm	Your services are no longer required. Your family has been eliminated and you will be reassigned.	I tuoi servizi non sono più richiesti. La tua famiglia è stata eliminata e verrai riassegnato.
morningstate_createm1	Welcome to The [GOV] Times. You are the new editor-in-chief.\n\n	Benvenuto al [GOV] Times. Sei il nuovo Capo Redattore.\n\n
morningstate_createm2	The war with Antegria is over and the rebellion uprising has been crushed. Order is slowly returning to [GOV].\n\n	La guerra con Antegria è finita e l'insurrezione in atto è stata repressa. [GOV] sta lentamente ritornando all'ordine.\n\n
morningstate_createm3	The public is not loyal to the government.\n\n	Il pubblico non è fedele al governo.\n\n
morningstate_createm4	Freedom has returned to [GOV], but the public is skeptical.\n\n	La libertà è tornata a [GOV], ma il pubblico è scettico.\n\n
morningstate_createm5	It is your job to increase their loyalty by editing The [GOV] Times carefully. 	È tuo compito aumentare la loro fiducia pubblicando con cura il [GOV] Times. 
morningstate_createm6	Pick only stories that highlight the good things about [GOV] and its government.\n\n	Seleziona solo le notizie che mettono in risalto gli aspetti positivi di [GOV] e del suo governo.\n\n
morningstate_createm7_1	You have 3 days to raise the public's loyalty to 	Hai 3 giorni per aumentare la fedeltà del pubblico fino a 
morningstate_createm7_2	.\n\n	.\n\n
morningstate_createm8	We have found a new wife and child for you. 	Ti abbiamo procurato una nuova moglie e un nuovo figlio. 
morningstate_createm9	As a precaution against influence, we are keeping them in a safe location.	Per precauzione contro il condizionamento, li stiamo tenendo in un luogo sicuro.
morningstate_createm10	As a precaution against influence, we are keeping your wife and child in a safe location.	Per precauzione contro il condizionamento, stiamo tenendo tua moglie e tuo figlio in un luogo sicuro.
morningstate_createm11	You have completed your first task. The Great and Honorable Leader is pleased.\n\n	Hai completato il tuo primo compito. L'Onorevole Leader Supremo è compiaciuto.\n\n
